Date,Open,High,Low,Close,Adj Close,Volume,Categorical_Variable
7/29/2019,208.460007,210.639999,208.440002,209.679993,207.76799,21673400,3
7/30/2019,208.759995,210.160004,207.309998,208.779999,206.87619,33935700,4
7/31/2019,216.419998,221.369995,211.300003,213.039993,211.097366,69281400,5
8/1/2019,213.899994,218.029999,206.740005,208.429993,206.529373,54017900,1
8/2/2019,205.529999,206.429993,201.630005,204.020004,202.159607,40862100,2
8/5/2019,197.990005,198.649994,192.580002,193.339996,191.576981,52393000,3
8/6/2019,196.309998,198.070007,194.039993,197,195.203613,35824800,4
8/7/2019,195.410004,199.559998,193.820007,199.039993,197.225006,33364400,5
8/8/2019,200.199997,203.529999,199.389999,203.429993,201.574982,27009500,1
8/9/2019,201.300003,202.759995,199.289993,200.990005,199.913925,24619700,2
8/12/2019,199.619995,202.050003,199.149994,200.479996,199.406647,22474900,3
8/13/2019,201.020004,212.139999,200.479996,208.970001,207.851212,47218500,4
8/14/2019,203.160004,206.440002,202.589996,202.75,201.664505,36547400,5
8/15/2019,203.460007,205.139999,199.669998,201.740005,200.659912,27227400,1
8/16/2019,204.279999,207.160004,203.839996,206.5,205.394424,27620400,2
8/19/2019,210.619995,212.729996,210.029999,210.350006,209.223816,24413600,3
8/20/2019,210.880005,213.350006,210.320007,210.360001,209.233765,26884300,4
8/21/2019,212.990005,213.649994,211.600006,212.639999,211.501556,21535400,5
8/22/2019,213.190002,214.440002,210.75,212.460007,211.322525,22253700,1
8/23/2019,209.429993,212.050003,201,202.639999,201.555099,46818000,2
8/26/2019,205.860001,207.190002,205.059998,206.490005,205.384476,26043600,3
8/27/2019,207.860001,208.550003,203.529999,204.160004,203.066956,25873300,4
8/28/2019,204.100006,205.720001,203.320007,205.529999,204.429626,15938800,5
8/29/2019,208.5,209.320007,206.660004,209.009995,207.890976,20990500,1
8/30/2019,210.160004,210.449997,207.199997,208.740005,207.622437,21143400,2
9/3/2019,206.429993,206.979996,204.220001,205.699997,204.598694,20023000,3
9/4/2019,208.389999,209.479996,207.320007,209.190002,208.070038,19188100,4
9/5/2019,212,213.970001,211.509995,213.279999,212.138123,23913700,5
9/6/2019,214.050003,214.419998,212.509995,213.259995,212.118225,19362300,1
9/9/2019,214.839996,216.440002,211.070007,214.169998,213.023361,27309400,2
9/10/2019,213.860001,216.779999,211.710007,216.699997,215.53981,31693800,3
9/11/2019,218.070007,223.710007,217.729996,223.589996,222.392929,44289600,4
9/12/2019,224.800003,226.419998,222.860001,223.089996,221.895599,32226700,5
9/13/2019,220,220.789993,217.020004,218.75,217.578842,39763300,1
9/16/2019,217.729996,220.130005,217.559998,219.899994,218.722687,21158100,2
9/17/2019,219.960007,220.820007,219.119995,220.699997,219.518402,18318700,3
9/18/2019,221.059998,222.850006,219.440002,222.770004,221.577332,25340000,4
9/19/2019,222.009995,223.759995,220.369995,220.960007,219.777023,22060600,5
9/20/2019,221.380005,222.559998,217.470001,217.729996,216.564285,55413100,1
9/23/2019,218.949997,219.839996,217.649994,218.720001,217.548996,19165500,2
9/24/2019,221.029999,222.490005,217.190002,217.679993,216.514557,31190800,3
9/25/2019,218.550003,221.5,217.139999,221.029999,219.846634,21903400,4
9/26/2019,220,220.940002,218.830002,219.889999,218.712738,18833500,5
9/27/2019,220.539993,220.960007,217.279999,218.820007,217.648483,25352000,1
9/30/2019,220.899994,224.580002,220.789993,223.970001,222.770889,25977400,2
10/1/2019,225.070007,228.220001,224.199997,224.589996,223.387573,34805800,3
10/2/2019,223.059998,223.580002,217.929993,218.960007,217.78772,34612300,4
10/3/2019,218.429993,220.960007,215.130005,220.820007,219.637756,28606500,5
10/4/2019,225.639999,227.490005,223.889999,227.009995,225.794617,34619700,1
10/7/2019,226.270004,229.929993,225.839996,227.059998,225.844345,30576500,2
10/8/2019,225.820007,228.059998,224.330002,224.399994,223.198593,27955000,3
10/9/2019,227.029999,227.789993,225.639999,227.029999,225.814514,18692600,4
